File: paper_data/knowledge_graph_embedding/4801db5c5cb24a9069f2d264252fa26986ceefa9.pdf
Created: 2025-10-03T10:57:12.438487
Keywords: Negative Sampling (NS), Knowledge Graph Representation Learning (KGRL), Knowledge Graph Embedding (KGE), Systematic review, Novel NS methods classification, Negative sampling architectures, Advantages and disadvantages of NS methods, Open research questions, Future research directions, Research gaps, PRISMA guidelines, Designing effective NS methods
==================================================
INTRIGUING ABSTRACT:
==================================================
The efficacy of Knowledge Graph Representation Learning (KGRL), also known as Knowledge Graph Embedding (KGE), hinges critically on effective Negative Sampling (NS) strategies. Despite its pivotal role, a comprehensive, architecturally-driven understanding of NS methods has remained elusive. This paper presents a rigorous systematic review, meticulously analyzing 64 research papers identified through PRISMA guidelines across major scientific databases.

We introduce a novel classification framework, categorizing existing NS methods into six distinct architectural groups. For each category, we provide an in-depth overview of its underlying architecture, alongside a critical discussion of its advantages and disadvantages. This systematic approach offers invaluable insights for researchers aiming to design more effective NS methods. Furthermore, we pinpoint key unresolved research challenges and propose compelling future directions, serving as a foundational resource to propel advancements in KGRL. This survey is an indispensable guide for navigating the complex landscape of negative sampling, empowering the next generation of KGRL innovations.

==================================================
FULL SUMMARY:
==================================================
Here is a focused summary of the survey paper by Madushanka and Ichise \cite{madushanka2024} for literature review:

1.  **Review Scope & Objectives**
    *   This survey covers the domain of Negative Sampling (NS) methods within Knowledge Graph Representation Learning (KGRL), also known as Knowledge Graph Embedding (KGE).
    *   Its main objectives are to systematically review various NS methods, categorize them into distinct groups, outline their advantages and disadvantages, and identify open research questions for future investigations.

2.  **Literature Coverage**
    *   The survey meticulously selected 64 research papers from an initial pool of 106, following PRISMA guidelines.
    *   Literature was identified through extensive searches across databases including ACM Digital Library, IEEE Xplore, ScienceDirect, Web of Science, SpringerLink, and ArXiv.

3.  **Classification Framework**
    *   The survey organizes the literature by categorizing existing Negative Sampling methods into six distinct groups.
    *   These categories are based on the architectures of the negative sampling strategies.

4.  **Key Findings & Insights**
    *   The survey outlines the respective advantages and disadvantages of the categorized negative sampling methods.
    *   It provides a comprehensive overview of the architecture underlying each negative sampling category.
    *   The paper aims to offer valuable insights for designing effective NS methods in KGRL by generalizing and aligning fundamental NS concepts.

5.  **Research Gaps & Future Directions**
    *   The survey identifies several unresolved research challenges in the field of negative sampling.
    *   It suggests potential directions for future investigations, serving as a motivating force for further advancements in KGRL.

6.  **Survey Contribution**
    *   This survey provides a comprehensive review of both historical and contemporary negative sampling methodologies in KGRL, along with an in-depth, novel classification.
    *   It offers unique value by systematically discussing the strengths and limitations of various approaches and outlining future research prospects, making it a comprehensive and authoritative resource.
