File: paper_data/knowledge_graph_embedding/dc263909d1706b36c2e39a1e827781588545c236.pdf
Created: 2025-10-01T22:31:33.690031
Keywords: OTTER, Vision-Language-Action (VLA) models, zero-shot generalization, text-aware visual feature extraction, frozen pre-trained encoders, semantic alignment preservation, robotic manipulation, CLIP, decoupling task planning, real-world robotic deployment, causal transformer policy network, fine-tuning degradation
==================================================
INTRIGUING ABSTRACT:
==================================================
Achieving robust zero-shot generalization remains a formidable challenge for Vision-Language-Action (VLA) models in robotics. Current approaches often fine-tune powerful pre-trained Vision-Language Models (VLMs) like CLIP, inadvertently degrading their rich semantic alignments and hindering performance on novel tasks and environments. We introduce OTTER, a novel VLA architecture that fundamentally shifts this paradigm by *preserving* the zero-shot capabilities of frozen VLMs.

OTTER's core innovation lies in its **text-aware visual feature extraction**. Instead of processing all visual information, OTTER selectively extracts only task-relevant visual features that are semantically aligned with the language instruction. This is achieved by computing cosine similarity between per-token language features and visual patch features from CLIP's internal attention outputs (Xattn), generating highly focused `fvl` tokens. These, alongside pooled text features and proprioceptive states, drive a causal transformer policy.

Empirical evaluations on the LIBERO benchmark and real-world Franka robot tasks demonstrate OTTER's superior zero-shot generalization to unseen objects and environments, significantly outperforming state-of-the-art VLA models like Octo and OpenVLA. OTTER establishes a new benchmark for robust robotic manipulation, proving that preserving pre-trained VLM knowledge is key to scalable and adaptable robotic intelligence.

==================================================
FULL SUMMARY:
==================================================
Here's a focused summary of the technical paper for a literature review:

### OTTER: A Vision-Language-Action Model with Text-Aware Visual Feature Extraction \cite{huang2025}

1.  **Research Problem & Motivation**
    *   **Specific Technical Problem:** Existing Vision-Language-Action (VLA) models struggle with zero-shot generalization to novel objects and environments because fine-tuning pre-trained Vision-Language Models (VLMs) on robot datasets degrades their rich, pre-trained semantic alignments \cite{huang2025}.
    *   **Importance & Challenge:** VLA models aim to predict robotic actions from visual observations and language instructions. Achieving robust zero-shot generalization is critical for real-world robotic deployment, but current approaches compromise the VLM's semantic understanding by fine-tuning, as robot datasets are less semantically diverse than VLM pre-training data \cite{huang2025}.

2.  **Related Work & Positioning**
    *   **Relation to Existing Approaches:**
        *   Many existing VLA models (e.g., RT-2, OpenVLA, Octo) directly fine-tune pre-trained VLMs or feed visual and language features independently into a policy network \cite{huang2025}.
        *   Early works like RT-1 used vision-language fusion but learned alignment from robotic data without leveraging pre-trained VLMs like CLIP \cite{huang2025}.
    *   **Limitations of Previous Solutions:**
        *   Fine-tuning pre-trained VLMs on robot datasets interferes with and weakens their pre-trained vision-language alignments, leading to a significant performance drop on unseen tasks, objects, or environments \cite{huang2025}.
        *   Directly passing independent visual and text tokens requires the policy network to learn the complex vision-language connection from scratch, which is challenging for precise robot control \cite{huang2025}.

3.  **Technical Approach & Innovation**
    *   **Core Technical Method:**
        *   OTTER proposes a novel VLA architecture that *freezes* pre-trained vision and language encoders (specifically CLIP) to preserve their semantic alignments \cite{huang2025}.
        *   It introduces "text-aware visual feature extraction," where instead of processing all visual features, OTTER selectively extracts only task-relevant visual features that are semantically aligned with the language instruction \cite{huang2025}.
