File: /media/aiserver/New Volume/HDD_linux/bear/SurveyX/paper_data/KNOWLEDGE_GRAPH_EMBEDDING/f42d060fb530a11daecd90695211c01a5c264f8d.pdf
Created: 2025-09-20T07:30:37.558490
Keywords: Continual Knowledge Graph Embedding (CKGE), IncDE (Incremental Distillation for Continual KGE), explicit graph structure utilization, hierarchical ordering strategy, graph-structure-aware incremental distillation, catastrophic forgetting mitigation, graph centrality measures, two-stage training strategy, dynamic Knowledge Graphs, Mean Reciprocal Rank (MRR), newly constructed datasets, graph-aware continual learning
==================================================
INTRIGUING ABSTRACT:
==================================================
The relentless evolution of real-world Knowledge Graphs (KGs) poses a critical challenge for Knowledge Graph Embedding (KGE) models: how to efficiently incorporate new knowledge without costly retraining or suffering catastrophic forgetting. Existing Continual KGE (CKGE) methods largely overlook the explicit graph structure, leading to suboptimal learning orders and inefficient knowledge preservation. We introduce **IncDE (Incremental Distillation for Continual KGE)**, a novel framework that explicitly leverages the inherent graph structure to revolutionize continual learning.

IncDE employs a sophisticated hierarchical ordering strategy, utilizing Breadth-First Search (BFS) and entity/relation centrality, to optimize the learning sequence of new triples. Crucially, it integrates an incremental distillation mechanism with dynamic, centrality-weighted preservation to effectively mitigate catastrophic forgetting. A robust two-stage training strategy further safeguards existing knowledge from under-trained emerging information. Extensive experiments demonstrate IncDE's superior performance, consistently outperforming state-of-the-art baselines and achieving significant MRR improvements. By explicitly harnessing graph structure, IncDE offers a principled and highly effective solution for dynamic KGE, paving the way for more adaptive and scalable knowledge systems.

==================================================
FULL SUMMARY:
==================================================
Here's a focused summary of the technical paper \cite{liu2024} for a literature review:

### Technical Paper Analysis: Towards Continual Knowledge Graph Embedding via Incremental Distillation \cite{liu2024}

1.  **Research Problem & Motivation**
    *   **Specific Technical Problem:** Traditional Knowledge Graph Embedding (KGE) methods incur significant training costs when new knowledge emerges, as they require retraining the entire knowledge graph (KG). Existing Continual KGE (CKGE) methods largely ignore the explicit graph structure, which is crucial for efficient learning and preservation.
    *   **Why Important & Challenging:** Real-world KGs are dynamic and constantly evolve (e.g., DBpedia, Wikipedia), necessitating efficient updates to KGE models. The challenge lies in effectively learning emerging knowledge while simultaneously preserving old knowledge, without incurring prohibitive computational costs or suffering from catastrophic forgetting. Existing CKGE methods fail to leverage the inherent graph structure, leading to suboptimal learning orders for new knowledge and inefficient preservation of old knowledge.

2.  **Related Work & Positioning**
    *   **Relation to Existing Approaches:** \cite{liu2024} positions its work against three categories of existing CKGE methods: dynamic architecture-based, replay-based, and regularization-based.
    *   **Limitations of Previous Solutions:**
        *   **Dynamic architecture-based:** Retaining all old parameters hinders the adaptation of old knowledge to new information.
        *   **Replay-based:** Replaying only a portion of subgraphs can destroy the overall old graph structure.
        *   **Regularization-based:** Solely adding regularization terms to old parameters is insufficient to capture new knowledge effectively.
        *   **General Limitations (addressed by \cite{liu2024}):** These methods overlook the importance of an appropriate learning order for graph data and fail to preserve old knowledge in a way that facilitates better integration with new knowledge. Furthermore, most existing CKGE datasets restrict new triples to contain at least one old entity, neglecting real-world scenarios where new triples may involve entirely new entities.

3.  **Technical Approach & Innovation**
    *   **Core Technical Method:** \cite{liu2024} proposes **IncDE (Incremental Distillation for Continual KGE)**, a framework that explicitly leverages the explicit graph structure.
        *   **Hierarchical Ordering:** To optimize the learning sequence of new triples ($\Delta T_i$), IncDE employs a two-stage ordering strategy:
            *   **Inter-hierarchical Ordering:** Divides new triples into multiple layers ($l_1, l_2, ..., l_n$) using Breadth-First Search (BFS) expansion from the old graph ($G_{i-1}$), prioritizing triples closer to existing knowledge.
            *   **Intra-hierarchical Ordering:** Within each layer, triples are further sorted based on their importance, calculated using a combination of entity node centrality (`fnc`) and relation betweenness centrality (`fbc`). This ensures that triples critical to the graph structure are learned first.
